nameseq,A_A,A_C,A_D,A_E,A_F,A_G,A_H,A_I,A_K,A_L,A_M,A_N,A_P,A_Q,A_R,A_S,A_T,A_V,A_W,A_Y,C_A,C_C,C_D,C_E,C_F,C_G,C_H,C_I,C_K,C_L,C_M,C_N,C_P,C_Q,C_R,C_S,C_T,C_V,C_W,C_Y,D_A,D_C,D_D,D_E,D_F,D_G,D_H,D_I,D_K,D_L,D_M,D_N,D_P,D_Q,D_R,D_S,D_T,D_V,D_W,D_Y,E_A,E_C,E_D,E_E,E_F,E_G,E_H,E_I,E_K,E_L,E_M,E_N,E_P,E_Q,E_R,E_S,E_T,E_V,E_W,E_Y,F_A,F_C,F_D,F_E,F_F,F_G,F_H,F_I,F_K,F_L,F_M,F_N,F_P,F_Q,F_R,F_S,F_T,F_V,F_W,F_Y,G_A,G_C,G_D,G_E,G_F,G_G,G_H,G_I,G_K,G_L,G_M,G_N,G_P,G_Q,G_R,G_S,G_T,G_V,G_W,G_Y,H_A,H_C,H_D,H_E,H_F,H_G,H_H,H_I,H_K,H_L,H_M,H_N,H_P,H_Q,H_R,H_S,H_T,H_V,H_W,H_Y,I_A,I_C,I_D,I_E,I_F,I_G,I_H,I_I,I_K,I_L,I_M,I_N,I_P,I_Q,I_R,I_S,I_T,I_V,I_W,I_Y,K_A,K_C,K_D,K_E,K_F,K_G,K_H,K_I,K_K,K_L,K_M,K_N,K_P,K_Q,K_R,K_S,K_T,K_V,K_W,K_Y,L_A,L_C,L_D,L_E,L_F,L_G,L_H,L_I,L_K,L_L,L_M,L_N,L_P,L_Q,L_R,L_S,L_T,L_V,L_W,L_Y,M_A,M_C,M_D,M_E,M_F,M_G,M_H,M_I,M_K,M_L,M_M,M_N,M_P,M_Q,M_R,M_S,M_T,M_V,M_W,M_Y,N_A,N_C,N_D,N_E,N_F,N_G,N_H,N_I,N_K,N_L,N_M,N_N,N_P,N_Q,N_R,N_S,N_T,N_V,N_W,N_Y,P_A,P_C,P_D,P_E,P_F,P_G,P_H,P_I,P_K,P_L,P_M,P_N,P_P,P_Q,P_R,P_S,P_T,P_V,P_W,P_Y,Q_A,Q_C,Q_D,Q_E,Q_F,Q_G,Q_H,Q_I,Q_K,Q_L,Q_M,Q_N,Q_P,Q_Q,Q_R,Q_S,Q_T,Q_V,Q_W,Q_Y,R_A,R_C,R_D,R_E,R_F,R_G,R_H,R_I,R_K,R_L,R_M,R_N,R_P,R_Q,R_R,R_S,R_T,R_V,R_W,R_Y,S_A,S_C,S_D,S_E,S_F,S_G,S_H,S_I,S_K,S_L,S_M,S_N,S_P,S_Q,S_R,S_S,S_T,S_V,S_W,S_Y,T_A,T_C,T_D,T_E,T_F,T_G,T_H,T_I,T_K,T_L,T_M,T_N,T_P,T_Q,T_R,T_S,T_T,T_V,T_W,T_Y,V_A,V_C,V_D,V_E,V_F,V_G,V_H,V_I,V_K,V_L,V_M,V_N,V_P,V_Q,V_R,V_S,V_T,V_V,V_W,V_Y,W_A,W_C,W_D,W_E,W_F,W_G,W_H,W_I,W_K,W_L,W_M,W_N,W_P,W_Q,W_R,W_S,W_T,W_V,W_W,W_Y,Y_A,Y_C,Y_D,Y_E,Y_F,Y_G,Y_H,Y_I,Y_K,Y_L,Y_M,Y_N,Y_P,Y_Q,Y_R,Y_S,Y_T,Y_V,Y_W,Y_Y,label
sp|Q88VL9_p|GRPE_LACPL,4,0,5,2,0,1,0,1,2,3,0,0,1,5,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,2,4,0,1,1,4,0,0,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,2,1,1,1,2,0,0,3,0,2,0,0,0,0,0,5,0,0,1,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1,2,0,1,0,1,1,4,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,2,1,0,0,0,0,0,1,0,0,2,1,1,2,2,3,0,0,2,0,2,1,0,1,0,0,0,0,2,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,positive
sp|Q9CGY9_p|GRPE_LACLA,1,0,1,3,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,2,0,1,2,1,1,0,3,3,6,0,1,1,2,1,1,3,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,3,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0,0,0,2,1,1,1,1,0,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,3,3,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,5,0,1,0,0,1,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,positive
sp|P9WPE5_p|CH10_MYCTU,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,2,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,positive
sp|A0QQU5_p|CH601_MYCS2,10,0,7,5,1,7,1,6,6,8,0,1,3,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,1,0,1,0,2,0,0,1,0,1,2,3,6,0,2,7,0,0,7,0,4,0,4,4,7,2,1,2,1,1,3,3,9,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,7,0,1,6,2,6,0,2,2,2,2,5,3,3,3,3,1,6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,4,0,3,0,0,2,3,0,2,0,0,1,1,1,1,0,1,4,0,1,2,0,5,0,4,0,2,1,0,1,2,5,2,4,5,1,1,6,0,4,5,0,5,0,2,6,7,0,2,3,3,3,4,3,2,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,3,0,1,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,5,0,2,3,3,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,1,0,2,0,1,1,0,0,0,3,0,0,0,0,0,6,0,1,3,0,2,1,1,2,2,0,0,0,0,0,0,1,3,0,0,4,0,0,3,0,2,0,0,3,4,0,0,2,0,0,1,2,2,0,2,5,0,5,4,0,6,0,1,2,2,0,0,0,0,0,1,4,3,0,0,5,0,4,8,0,4,0,1,5,7,0,4,0,2,1,2,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,positive
sp|Q88YM5_p|CH60_LACPL,6,0,4,8,0,3,0,3,6,8,0,3,4,1,1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,2,1,3,1,6,1,0,1,1,2,2,4,4,1,0,7,0,2,1,1,4,0,2,6,4,5,1,2,0,1,3,3,5,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,5,0,3,3,1,6,0,1,4,2,1,4,2,1,2,0,5,6,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,7,9,0,2,0,4,2,1,0,4,1,2,1,1,1,1,0,0,4,0,0,2,0,3,0,3,2,2,0,2,1,4,4,2,5,4,0,0,3,0,4,4,1,4,0,2,2,5,0,3,1,5,0,2,4,1,0,0,2,0,0,1,1,2,1,0,4,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,3,1,0,1,0,1,1,0,0,3,5,0,1,2,0,0,1,1,2,0,2,1,3,1,0,1,0,1,0,0,1,0,0,4,0,2,0,0,3,0,4,1,0,1,1,1,1,1,0,0,0,0,1,4,0,0,3,0,2,0,2,1,1,0,0,0,1,0,0,1,2,0,2,1,0,3,2,1,2,1,2,0,3,1,0,0,0,1,3,2,3,0,1,4,0,7,4,0,3,0,4,3,4,0,2,0,0,0,3,6,4,0,0,7,0,1,6,2,3,1,2,3,1,1,1,1,3,3,4,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,positive
sp|P0A3J2_p|DNAK_STRA3,12,0,7,3,3,5,0,3,7,5,0,3,3,6,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,1,5,1,0,8,5,3,2,1,2,0,4,3,8,0,0,5,0,6,2,1,4,1,5,4,1,1,3,1,0,0,2,7,5,0,1,0,0,2,1,0,0,0,1,2,2,0,1,0,1,0,0,4,3,0,0,4,0,7,6,5,3,0,3,1,2,0,1,1,2,2,3,5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,1,3,1,5,0,3,2,3,0,2,0,2,1,3,2,6,0,0,6,0,4,7,1,4,0,5,5,4,1,1,2,5,0,1,1,3,0,3,1,0,8,7,2,7,0,1,1,4,1,1,0,1,4,0,3,3,0,2,3,0,1,0,0,1,0,0,3,3,0,0,0,0,0,0,1,0,0,0,2,0,3,3,0,1,0,2,2,1,0,0,2,0,0,1,3,1,0,0,3,0,0,2,0,2,1,2,1,0,0,0,0,0,1,2,1,3,0,1,7,0,0,3,1,1,0,4,1,4,0,1,0,2,0,2,2,1,0,0,4,0,0,1,0,0,0,1,3,1,1,0,1,1,0,0,2,1,0,0,3,0,2,0,0,3,0,3,5,3,2,3,1,0,1,5,0,4,0,0,2,0,5,2,0,5,0,5,6,2,0,1,4,1,1,3,2,1,0,0,7,0,5,4,2,2,0,2,1,5,1,1,2,5,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,positive
sp|P9WMJ9_p|DNAK_MYCTU,11,0,3,4,2,8,2,3,4,5,0,3,2,5,2,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,7,1,0,2,4,2,3,0,3,3,3,5,7,1,0,5,0,4,3,2,4,1,2,3,4,0,2,0,2,4,4,6,3,0,1,0,0,2,0,0,1,0,1,1,2,0,0,0,0,2,1,1,1,0,0,5,0,9,6,2,4,1,1,4,1,1,3,5,0,2,6,3,5,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,0,3,3,0,2,2,2,0,4,1,1,1,2,2,1,3,5,0,0,5,0,3,3,1,2,1,0,5,2,0,1,3,3,1,1,3,3,0,1,1,0,3,5,1,10,0,3,6,3,0,0,0,2,3,2,1,2,0,3,1,0,0,0,0,0,0,0,2,1,1,0,0,0,3,1,0,0,0,0,3,0,2,2,0,1,0,2,0,4,0,0,3,0,0,0,1,2,0,0,2,0,1,1,1,3,0,4,3,0,0,0,1,1,0,2,0,3,0,1,3,0,0,5,0,2,0,3,0,3,0,0,0,2,0,2,4,3,0,1,5,0,0,4,0,1,0,4,0,2,1,0,2,2,3,0,4,5,0,0,2,0,2,3,0,2,0,5,1,3,1,1,0,2,2,4,2,3,1,0,6,0,7,0,0,4,0,4,4,3,1,2,4,0,3,2,1,2,0,0,9,0,7,8,2,1,0,2,2,3,0,3,2,3,3,2,2,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,positive
sp|P0A4J3_p|SODM_STRA3,3,0,1,2,4,2,0,2,1,3,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,1,2,0,1,1,0,0,1,0,1,0,0,0,1,1,2,3,2,3,2,0,0,1,0,1,1,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,3,0,0,3,0,1,0,0,0,1,0,2,1,2,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,1,1,0,0,1,1,0,1,1,3,1,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,1,0,2,0,0,2,0,1,1,0,0,1,0,1,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,positive
sp|P9WP74_p|CSPA_MYCTO,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
sp|P71478_p|CSP1_LACPL,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
tr|I7FZT6_p|I7FZT6_MYCS2,7,0,2,1,0,9,0,3,4,4,1,4,2,1,5,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,1,1,3,0,0,1,1,0,0,0,1,0,0,8,0,1,0,1,1,0,0,1,3,0,0,3,0,0,2,1,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,1,2,5,1,2,1,4,0,0,2,1,2,2,3,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,4,1,0,1,1,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,2,0,2,0,0,0,0,0,0,1,2,0,3,0,1,4,0,3,5,0,1,0,3,2,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,2,0,1,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,2,0,0,1,2,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,0,1,3,1,1,0,0,0,1,0,0,0,2,0,0,2,2,0,1,4,0,1,1,0,1,0,1,2,0,0,0,0,0,2,1,0,2,0,1,9,0,1,4,0,3,1,1,2,0,0,2,3,1,0,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,positive
tr|A0QR00_p|A0QR00_MYCS2,6,0,2,0,0,3,1,1,1,3,0,0,1,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,2,0,0,1,2,1,1,1,0,2,0,1,1,0,0,2,0,0,0,2,2,1,0,1,3,0,1,0,2,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2,4,0,1,2,1,0,3,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,1,2,0,3,0,0,5,0,4,3,0,2,1,2,2,2,0,0,2,0,3,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,2,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,2,0,1,1,0,2,0,1,0,1,0,1,0,0,0,1,0,1,2,2,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,0,2,0,2,0,0,1,0,2,0,0,1,0,3,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,positive
sp|Q88YY8_p|GPMA1_LACPL,1,0,1,1,0,4,1,2,1,1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,2,1,0,2,1,0,0,2,0,2,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,1,0,2,1,1,1,3,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2,2,0,0,1,0,0,2,2,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,3,0,1,3,1,2,2,0,0,2,1,0,1,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,0,1,0,0,0,0,2,1,0,0,1,2,1,0,0,0,2,1,1,0,1,0,2,2,2,0,1,1,1,2,0,0,2,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2,0,2,1,1,2,0,1,2,1,1,2,0,0,0,0,1,2,2,1,1,0,1,2,1,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,2,1,0,0,0,0,1,0,1,1,0,0,positive
tr|A0QU52_p|A0QU52_MYCS2,4,0,1,3,1,10,1,1,0,4,1,0,3,1,3,2,5,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,2,4,0,0,1,0,0,0,2,7,0,0,3,0,1,0,1,1,0,2,0,2,0,0,2,0,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,4,1,0,2,2,1,0,4,0,0,1,0,2,0,5,9,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,1,0,0,0,0,0,1,0,0,2,0,2,1,2,1,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,2,1,0,5,1,1,0,2,0,0,5,0,1,2,3,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,3,1,2,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,2,1,0,2,0,1,0,5,0,0,2,1,0,0,0,2,0,1,0,0,0,2,0,2,0,0,0,4,0,1,0,2,0,1,0,1,0,0,3,0,1,3,0,4,1,0,3,0,1,0,0,0,3,0,0,1,0,0,7,1,2,1,1,6,1,2,1,4,1,0,2,0,2,4,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0,positive
