A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3
0,1,0,1,0,0,3,0,0,2,0,0,0,2,0,1,2,1,0,1,0,1,2,1,0,1,3,0,0,1,0,1,1,0,0,0,0,0,3,1,1,1,0,1,2,0,1,0,3,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.6332308852279064,0.7300012450041878,0.7572126185206844,0.761745926086919,0.7626551560365873
1,1,0,1,1,2,0,1,0,1,1,0,0,1,1,0,1,4,0,0,1,0,2,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,3,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0.6349099773804173,0.7392799701073068,0.760531262730812,0.763048835134705,0.7632627176202084
0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,1,1,2,0,0,1,0,2,1,0,3,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,2,0,2,2,2,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0.6333984282361473,0.7378295727350594,0.7586642440931516,0.7618677978403521,0.7628471454684355
0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,2,1,2,0,0,1,0,2,1,0,3,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,2,0,2,1,2,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0.6362636713681735,0.7413194393430527,0.7598789074492586,0.7622614769384697,0.7632627176202084
0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,1,3,0,0,1,0,2,1,1,1,0,2,0,1,1,0,1,0,0,0,0,0,2,1,1,0,1,1,1,0,2,1,2,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0.6345192488084134,0.738255512058668,0.7594298749533686,0.7628661372695152,0.7634425142328226
0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,1,1,2,0,0,1,0,2,1,0,3,0,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,2,1,2,0,2,1,2,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0.6326377790139611,0.7378295727350594,0.7586642440931516,0.7618677978403521,0.7632627176202084
0,1,0,1,0,3,1,0,0,1,1,0,0,1,0,1,1,3,0,0,1,0,2,1,0,2,0,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,1,2,0,1,1,3,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0.631971642010894,0.7365634317321734,0.7591320999941944,0.7618677978403521,0.7632627176202084
0,1,1,0,2,5,2,1,0,0,1,0,0,0,0,0,2,1,1,1,2,7,2,1,1,5,4,1,1,2,0,1,1,3,1,0,1,1,5,1,3,1,2,0,0,1,2,0,0,1,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0.6000987803297152,0.7312337183333725,0.7581970235135514,0.7640256470373098,0.7658746708933512
0,3,0,0,1,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,4,4,1,2,2,1,2,3,0,2,1,1,0,1,1,1,0,1,2,1,1,1,2,0,0,2,0,1,0,2,0,0,1,1,3,2,0,0,1,0,0,1,1,2,0.6220907094210844,0.7370128787685988,0.7570513941395193,0.763767281580758,0.7650284408534337
1,3,0,1,2,1,2,0,2,0,3,1,0,1,0,0,2,0,3,0,0,1,1,1,2,1,0,2,0,1,0,2,1,2,1,0,2,2,3,0,3,3,1,2,1,0,2,0,0,0,2,0,0,1,0,1,0,0,1,1,0,1,2,0,0.6288242946930623,0.7420577535368924,0.7614811125993871,0.7650328036083089,0.7656958224962374
1,0,0,1,0,3,0,0,0,1,1,1,0,1,0,2,0,1,2,0,0,2,0,2,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,3,1,0,0,1,2,0,0,1,2,0,1,1,3,0,0,4,0.6279727855905234,0.7344809717281738,0.7553167041743463,0.7613575328820581,0.7636024244060747
1,1,0,3,1,2,1,0,0,2,1,0,0,0,0,2,2,0,0,0,0,3,1,1,1,1,3,0,0,0,1,0,1,2,1,2,1,0,1,0,1,0,0,0,2,0,2,0,0,0,0,1,1,1,0,0,2,0,0,1,2,1,0,3,0.6408933869381628,0.7408317001491368,0.759755613457375,0.7628115610268809,0.76420102409562
0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,1,2,1,0,0,1,2,0,1,1,0,0,0,2,1,0,1,0,0,1,1,1,4,0,1,1,1,1,2,0,0,3,0,0,1,0,1,1,6,0.606677779542108,0.7210312291402706,0.7484495642861219,0.7583454298587823,0.7623278207949944
0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,0,1,2,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,2,2,1,0,1,1,2,2,0,0,2,1,0,1,0,0,0,4,0.6254248163641034,0.7344620288305955,0.7561045114917717,0.7601959067449007,0.7618528597214402
1,0,1,0,0,1,0,1,0,2,1,0,0,1,1,1,0,0,2,0,0,3,0,2,1,0,1,0,0,0,2,0,0,1,1,2,0,1,0,1,2,0,1,1,2,0,1,2,0,0,1,1,1,1,0,0,3,1,1,0,0,0,0,3,0.6350653314518958,0.7336052553379091,0.7549219079290004,0.760287178607382,0.7626080676247953
0,0,0,1,0,2,1,0,0,2,1,0,1,1,1,0,0,2,1,0,3,3,0,2,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,2,0,0,2,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,4,0.6384686213100635,0.7391764195189832,0.7551435183171882,0.7596401376320555,0.7617914081230704
7,0,1,10,10,4,6,3,1,1,3,1,5,9,5,4,4,6,1,11,6,12,6,4,4,7,4,3,0,10,4,5,2,2,1,8,4,3,4,2,6,2,3,2,4,2,3,7,6,3,3,6,3,15,0,3,3,4,9,2,5,5,3,5,0.6379477010440975,0.7417611107843587,0.7629720202486074,0.7673723526380669,0.7684312074016799
0,1,0,2,3,2,1,0,1,1,1,2,0,0,1,4,1,1,1,0,2,2,1,1,2,0,3,0,1,4,2,0,2,0,0,2,0,1,1,0,1,1,0,2,0,1,1,5,2,1,4,1,1,2,0,4,0,1,1,1,2,2,0,4,0.6343488444942798,0.7406819740731001,0.7610884180828986,0.7654140977804127,0.766421979254255
6,8,8,2,9,2,8,2,27,8,10,4,4,2,5,4,5,2,6,2,4,4,1,4,2,3,19,4,0,6,0,3,11,8,14,13,11,3,3,1,11,6,5,6,1,4,18,4,8,3,10,3,6,1,2,4,3,2,4,4,1,3,4,5,0.6280597663155919,0.7409340041903916,0.7623136125137122,0.7666627458486053,0.7678984192804207
0,1,2,2,0,1,1,2,2,0,1,3,2,3,2,4,0,0,1,1,1,2,2,0,4,1,1,2,2,1,0,4,3,1,1,2,1,2,3,2,0,1,2,3,3,1,2,2,1,3,5,2,3,0,0,2,0,3,4,1,3,2,1,8,0.6317713035302029,0.7411650466678272,0.7616987501991788,0.7664064915963724,0.7674043317065083
3,1,0,4,4,1,1,1,2,1,3,0,0,3,3,2,1,3,0,2,2,2,1,1,1,0,0,2,1,1,2,2,3,0,1,2,0,1,0,2,1,1,0,3,1,0,2,3,3,0,2,3,0,3,0,1,2,2,1,1,5,1,3,7,0.630475873560102,0.7413708230255488,0.7619501387594435,0.7658946943740546,0.7668305082641567
1,1,2,0,0,4,3,5,1,1,1,2,2,2,1,2,3,2,2,0,1,2,2,3,2,3,1,1,0,1,2,4,1,2,2,3,3,1,0,0,2,1,2,1,0,2,0,2,5,3,0,0,1,1,3,1,3,1,0,0,1,4,1,3,0.6402975647230883,0.7434081125075234,0.7625433248165353,0.7666267897475019,0.7672912429680224
0,0,1,2,1,2,0,0,1,1,0,0,2,0,2,1,0,1,2,0,2,0,1,0,0,1,3,1,1,1,0,3,1,1,0,1,2,0,1,1,0,1,0,1,0,1,2,2,0,2,1,0,1,1,0,4,0,4,0,0,0,0,0,5,0.6334544352406614,0.7346666529049086,0.7580283893879506,0.7618334795484849,0.7636325954850638
3,1,5,4,5,4,2,1,2,5,1,3,4,0,4,3,3,2,0,4,2,0,1,2,2,3,2,1,2,2,0,4,5,2,2,3,4,0,0,2,1,2,0,2,3,0,4,4,4,1,2,5,2,2,3,1,2,4,2,2,2,3,5,14,0.6307393684518295,0.739396908380275,0.7616992046859605,0.7667801346285528,0.7679386483928677
0,1,2,2,2,1,0,0,3,1,0,0,0,2,1,4,0,1,1,0,2,0,2,2,2,0,0,0,0,2,1,3,2,0,0,2,1,2,1,1,1,1,1,1,1,0,1,0,2,1,1,3,1,1,0,0,0,2,1,1,0,1,2,2,0.6379425953734391,0.7403655180857986,0.7600834873946347,0.7646413576265028,0.765629141626766
0,0,1,1,1,2,0,1,0,2,0,2,1,1,2,0,1,1,1,0,2,1,1,4,2,1,1,2,1,1,3,0,0,3,1,2,0,0,0,1,2,2,2,0,2,1,2,4,0,0,1,2,1,1,5,0,1,1,2,2,0,2,0,8,0.6298438635709467,0.7420586192518241,0.7608130599346835,0.7648612427069698,0.766053865491732
0,1,2,2,2,1,0,1,1,1,0,4,1,1,1,2,0,1,2,0,4,1,0,0,2,2,2,0,0,1,2,0,0,1,3,2,1,0,0,1,1,3,1,1,2,0,3,3,3,1,1,1,1,0,3,0,2,0,2,0,0,0,0,5,0.6399995878056312,0.7413223422785338,0.7608611003473598,0.7642347857382091,0.7655687122160335
4,1,1,1,2,2,0,1,1,0,1,0,2,2,1,3,1,0,2,0,4,2,2,2,1,3,2,4,1,1,3,1,2,1,2,1,1,2,2,2,0,6,1,1,0,1,3,1,1,2,0,4,0,3,3,1,0,3,1,2,3,1,1,2,0.64027428251799,0.7444643432898491,0.7633174873899916,0.7663182412354707,0.7670717272124532
5,1,3,2,3,8,1,3,2,2,3,1,4,2,3,2,3,5,2,2,4,2,4,6,1,6,1,2,2,6,1,5,5,1,1,2,3,3,2,2,3,3,2,1,1,2,1,2,3,2,4,4,4,2,1,3,1,4,1,1,1,2,4,0,0.6379983698605417,0.7452605891823472,0.7642989911736072,0.7673872125797183,0.7680750482099645
3,6,4,2,4,2,3,3,2,6,2,3,1,2,4,1,0,3,0,2,6,6,0,4,6,1,2,4,7,5,4,5,2,2,4,1,4,2,4,4,1,4,0,2,0,3,5,5,3,4,4,8,3,3,4,3,3,2,0,4,2,4,2,8,0.6390462982290646,0.7460909040794529,0.7641877316975354,0.7673518983305521,0.7681643667401491
6,2,1,4,5,3,5,2,2,3,1,4,1,3,1,4,4,5,2,3,3,4,1,1,2,5,5,1,5,5,2,4,2,3,1,1,2,2,6,5,2,3,1,3,5,1,2,1,2,3,3,5,4,5,2,2,1,2,3,1,1,3,3,2,0.640962166148014,0.7470813731128557,0.7647592282660618,0.7676878064440341,0.7682073828405966
7,8,10,1,5,1,4,1,16,3,10,2,2,4,5,1,4,2,3,1,1,2,2,1,5,3,9,2,1,1,2,4,13,2,5,5,7,3,6,4,4,3,5,7,4,2,3,5,5,2,8,3,1,1,2,3,2,4,1,3,1,3,4,6,0.6300557831443722,0.742359499113101,0.7625209620142657,0.7668456471111391,0.7680519567348547
5,2,6,3,1,1,1,0,5,3,2,2,2,2,2,3,2,1,3,1,0,1,1,3,1,0,3,4,1,0,4,4,2,1,2,3,2,3,3,3,5,3,0,0,2,2,3,4,4,1,2,1,3,4,2,1,1,4,4,1,2,1,0,3,0.6396896682877682,0.7445738552819163,0.7635790034830808,0.7669838036235529,0.7677894984704116
0,0,0,0,1,3,0,0,0,0,2,2,0,0,1,2,0,1,1,3,2,3,1,0,0,2,0,1,0,1,0,4,0,0,1,0,1,2,0,0,0,1,1,1,0,1,3,5,2,0,0,2,1,1,1,2,3,0,2,2,0,3,4,6,0.613251181941371,0.7237884066568491,0.7545525131328317,0.762974904925956,0.7655461218901904
0,1,2,0,0,2,3,2,2,3,1,0,3,1,1,2,4,2,1,1,2,1,1,4,1,2,2,1,0,0,3,4,2,2,0,3,3,1,0,3,0,2,0,1,0,3,0,0,1,0,2,1,2,4,1,0,1,1,1,1,1,4,0,4,0.6382728266969223,0.7445536878408268,0.7629620794874449,0.766022918632235,0.7669449509450808
5,2,0,2,3,4,0,3,1,1,1,0,0,1,1,0,0,1,2,1,1,3,1,2,1,0,2,2,5,1,1,2,3,2,0,0,0,0,0,2,0,1,0,1,1,0,2,1,2,2,1,2,1,2,0,2,0,3,0,0,2,1,1,1,0.6324743533870216,0.7413138934176583,0.761010545749092,0.7653371657360821,0.7665514628571315
1,3,3,0,0,0,1,0,2,3,0,1,0,2,3,2,0,1,0,2,1,0,1,2,5,2,3,2,0,0,0,0,0,2,3,3,2,0,5,2,1,1,3,3,0,0,3,1,1,0,1,0,1,1,0,2,2,1,0,0,5,1,3,5,0.6375833243019776,0.7439984094030098,0.7603919617847021,0.764991746910865,0.7664266005250685
4,2,0,3,1,3,1,1,0,2,0,0,1,0,2,3,1,1,0,1,1,2,3,0,3,2,1,0,0,1,0,2,4,0,1,0,1,0,1,0,2,1,0,1,0,2,3,1,2,0,0,4,1,1,1,1,1,1,1,0,1,1,0,1,0.6386949122608616,0.7390554886149322,0.7595211899148259,0.7646145870771337,0.765921013422403
4,4,4,5,3,2,4,1,1,7,3,3,6,1,5,4,1,4,2,2,5,2,2,6,3,4,6,3,2,1,1,3,4,3,2,5,1,3,3,0,1,1,0,5,12,2,2,4,5,3,3,6,2,3,6,4,0,3,3,5,7,5,2,9,0.6386850294520859,0.7438225756192053,0.7634035722590663,0.7672836288616911,0.7682491293340965
2,1,2,1,0,1,1,1,1,2,1,0,0,0,2,0,1,1,1,0,0,2,0,2,3,0,2,0,0,1,0,1,1,0,2,1,1,1,2,0,2,3,1,2,3,0,1,0,1,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0.6267147257702016,0.7373536577368455,0.7588749167905152,0.7639233031763641,0.7646005988719059
6,0,2,4,4,2,2,0,3,1,0,1,2,2,1,0,2,2,1,1,1,0,1,0,1,3,0,1,1,0,2,0,1,2,2,2,2,0,0,2,3,1,0,0,2,0,0,0,1,0,4,1,1,0,0,0,1,1,0,0,0,0,1,2,0.6202255511671317,0.7366476763011839,0.7598145171202046,0.7646374113347553,0.7658746708933512
5,1,3,4,2,1,0,0,1,2,0,0,0,1,4,4,2,2,1,1,1,0,1,1,3,0,3,2,1,1,0,5,0,1,0,2,4,3,1,2,0,2,0,1,1,0,1,4,1,1,1,4,2,3,1,1,1,2,2,2,5,3,2,12,0.6258543249482723,0.7332088969344656,0.7579228140449688,0.7645002123392646,0.7667732512670142
2,2,3,0,2,1,1,0,0,1,3,2,2,1,2,1,2,1,0,2,1,1,2,2,2,1,5,3,2,2,1,0,0,1,3,0,2,1,2,2,3,2,0,3,1,1,0,5,0,2,2,3,0,7,0,2,1,0,0,1,3,2,3,8,0.6371123964674533,0.7436734850054453,0.7617164396445665,0.7659922296271523,0.7670279027109046
8,3,5,5,5,6,5,6,2,2,1,2,4,4,1,2,1,4,0,7,4,2,1,2,5,4,5,3,1,1,2,8,5,7,0,1,3,1,2,1,1,0,1,1,5,3,0,3,1,5,4,5,6,4,2,0,3,0,1,3,7,5,3,6,0.6346543174610539,0.7442523510656792,0.7632743289593955,0.7669713518702181,0.767978202813443
18,5,1,12,3,4,5,1,1,1,0,1,8,6,0,6,7,1,0,0,1,3,0,2,2,4,6,4,3,0,4,5,3,0,0,2,3,4,2,1,0,0,1,2,3,3,2,3,12,4,4,3,2,2,4,6,1,3,1,3,5,3,1,8,0.624334785391128,0.7333972696813154,0.7581911689912336,0.7654931811940099,0.7676764855165648
5,2,3,5,3,4,8,1,4,4,4,4,4,1,6,4,2,2,3,4,5,4,3,6,4,9,7,8,4,3,4,7,8,3,4,5,4,6,7,4,2,9,8,2,5,2,10,6,5,5,3,3,3,3,7,6,1,7,3,8,3,10,3,8,0.6397977843514158,0.7458344430442864,0.7644827689092139,0.7678876534116122,0.7685676431333182
2,4,0,3,2,0,1,0,0,1,1,2,1,1,0,1,0,1,0,0,4,0,1,2,0,1,2,1,3,0,1,3,2,1,1,3,2,1,1,0,1,1,4,3,2,1,1,0,0,2,0,1,0,2,2,0,1,0,5,1,1,1,4,1,0.6414754444084205,0.7397737691160555,0.7602430310127452,0.7651609356733103,0.766421979254255
4,2,0,4,4,2,5,2,2,2,1,4,1,1,2,3,3,5,2,2,3,4,0,1,2,4,2,1,3,5,2,2,1,3,1,1,2,2,5,4,2,3,1,2,4,1,1,0,2,2,3,3,3,2,2,2,1,2,3,0,1,3,2,0,0.639852851411668,0.7469062635010772,0.7645051530538511,0.7674316284418238,0.7679058519356694
2,4,2,2,3,2,2,2,1,4,2,3,0,2,4,0,0,3,0,2,6,4,0,4,5,0,1,2,5,5,1,4,1,2,2,1,3,1,3,3,1,3,0,1,0,2,4,3,2,3,3,6,2,3,3,2,2,2,0,2,1,3,2,2,0.6391344784176048,0.7456017563196262,0.7635769835331578,0.7669266407422269,0.7676900107071953
7,1,2,3,0,0,2,0,1,0,2,1,3,1,3,2,1,0,0,3,0,1,0,2,0,1,1,1,2,2,0,2,1,0,0,1,3,2,3,0,2,1,0,0,1,0,0,1,4,2,0,2,0,1,0,1,1,3,1,0,0,0,1,5,0.6287920129758815,0.7368157685395087,0.7581995502382637,0.7640880783528382,0.7654676053565816
4,4,1,1,4,4,3,1,1,3,4,1,4,2,1,3,1,1,4,5,2,2,2,6,5,3,3,1,1,4,2,2,5,3,3,0,1,2,2,3,0,2,3,2,5,2,3,1,2,4,0,2,2,4,4,1,2,2,2,3,1,2,0,6,0.6414182847800173,0.7469101231766307,0.7645920295234979,0.7674197346829431,0.7679399736879294
2,1,2,0,0,2,2,0,1,3,0,3,1,3,1,0,2,0,0,1,0,1,2,0,2,2,2,2,0,1,2,2,1,1,1,0,4,0,5,1,1,3,2,2,2,0,0,2,3,2,4,1,0,0,2,0,1,0,0,1,0,0,0,3,0.6403937262227174,0.7399190576243178,0.7599997211402281,0.7647803828640447,0.7660829180325178
1,1,0,1,1,2,3,0,1,2,4,1,0,0,2,1,1,0,0,0,1,2,4,1,1,1,0,1,0,2,3,3,3,1,2,2,0,0,0,2,3,1,2,3,0,2,2,3,1,1,2,3,1,3,0,0,3,2,1,0,2,0,1,2,0.6400249326788721,0.7442502819248655,0.7619852901076378,0.7653936523709068,0.7662668028589219
5,5,2,5,3,4,1,3,3,2,4,4,3,3,2,2,2,2,4,1,5,1,1,1,5,3,3,1,1,3,2,2,7,1,3,2,3,1,2,1,3,0,1,2,2,3,2,3,4,0,3,4,3,3,2,3,0,3,1,0,0,3,2,2,0.6377497129171541,0.7448375981662899,0.76361705824096,0.7673108847202946,0.7679555822201025
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,2,0,1,0,2,3,1,2,1,1,0,2,1,1,0,1,2,1,0,0,0,2,0,1,1,3,0,0,1,0,1,2,2,2,1,1,1,1,3,1,0,4,0.6238943696544674,0.7367722848261065,0.7596905443238119,0.7643238756743546,0.7651111319453147
0,0,0,1,0,1,1,0,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,2,3,4,0,0,0,1,2,1,2,3,0,1,0,1,1,0,2,3,0,0,1,8,0,2,1,2,0,1,2,2,4,2,3,15,0.5613516988930118,0.706831631109778,0.747837310714098,0.7592765228832259,0.764119996192295
11,4,1,3,6,1,3,4,2,6,3,1,2,6,7,0,2,3,2,3,2,5,0,1,1,1,5,9,2,1,3,7,7,1,1,2,2,3,4,1,3,2,3,2,4,1,2,7,3,3,7,6,7,1,3,3,1,3,1,3,4,6,1,6,0.6394896906053746,0.7452206578928783,0.7637265317177171,0.7672351530460388,0.7681642300956198
4,6,6,0,6,4,4,2,3,1,0,3,1,0,1,1,5,4,1,0,0,5,2,3,2,1,4,1,0,3,3,2,6,2,0,2,1,2,3,0,4,3,5,3,1,1,2,2,2,1,2,0,1,1,0,2,3,1,1,2,2,0,3,1,0.6372697065387941,0.7433173069980482,0.7625541453579955,0.7666658128246296,0.7676461548176228
1,0,1,1,1,0,2,0,2,3,1,2,1,2,4,4,0,3,1,3,1,2,0,1,1,2,1,0,4,2,0,5,1,2,1,3,1,0,4,3,2,2,0,2,0,1,4,2,3,2,1,2,3,1,3,3,3,2,2,2,0,1,2,5,0.6354195021732545,0.7418061519003225,0.7624576697007401,0.7665365909158673,0.7673503357460071
5,0,3,5,0,1,1,0,1,1,3,3,3,2,0,1,0,2,1,0,2,6,0,1,1,0,0,1,0,1,0,3,2,1,1,3,1,0,1,0,4,0,3,0,2,0,1,2,5,1,1,0,1,3,1,0,1,0,2,1,2,1,2,3,0.6353811355997725,0.7403387740940061,0.7607333924852689,0.7654782880374205,0.7666492825095355
2,1,2,1,0,1,1,5,1,2,0,3,2,2,1,2,1,1,0,3,2,1,2,2,1,1,3,1,1,0,1,5,3,2,0,0,1,1,2,0,0,1,0,1,1,2,2,4,2,1,3,4,0,3,1,3,3,2,0,1,6,5,2,3,0.6312108854205212,0.7428475191894046,0.7627886257549235,0.7665432858290958,0.7673421777716088
3,2,0,0,0,0,1,1,0,0,5,0,1,1,1,5,1,0,1,1,0,2,2,1,1,1,2,1,0,2,1,1,3,0,1,2,2,1,1,0,2,3,2,1,1,0,0,0,2,1,0,3,2,1,1,2,0,0,1,0,3,2,0,0,0.6397218915478668,0.7410334037523492,0.7609333129960612,0.7650526524146813,0.765921013422403
1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,1,1,1,1,2,0,0,0,3,1,1,1,1,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,2,2,1,0,0,2,1,1,2,1,1,1,0,1,2,1,1,0.6344012684686903,0.7433876301755498,0.7589742205527936,0.7639099990900523,0.7646929121136701
